callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
SEIUD,4aa6a4,P28A,B738W26,933.64,1987.0,37.2,26.0,1293
EWG7Y,4d2411,,B738W26,953.04,711.0,62.7,162.0,654
SELGL,4ab0ec,,B738W26,429.31,3600.0,16.6,23.0,613
BR301,4aec63,,B738W26,99.2,3600.0,16.3,39.0,229
SVF634,4a822a,,B738W26,359.61,966.0,102.9,233.0,965
TAP783,4952d2,,B738W26,1750.62,1478.0,157.6,256.0,1417
SAS39C,4cad97,A20N,A320-271N,366.66,3600.0,28.4,85.0,380
THY8MQ,4bb261,,B738W26,1749.79,1387.0,147.3,208.0,1327
FIN1336,461fa3,A321,A321-131,335.45,494.0,56.5,370.0,494
SAS164,4cad89,A20N,A320-271N,284.41,816.0,80.6,285.0,815
RYR8743,4ca92b,B38M,B738W26,125.07,531.0,53.7,285.0,531
NSZ5DM,4ab825,,B738W26,404.77,960.0,104.4,275.0,959
PBD6834,151e1e,,B738W26,156.56,213.0,25.7,390.0,213
FIN2KE,461e1c,E190,EMB-190STD,13.78,26.0,3.1,410.0,26
RYR736K,48c226,B738,B738W26,351.21,1527.0,110.6,162.0,1390
FIN18N,461e17,E190,EMB-190STD,204.38,351.0,44.4,379.0,351
NSZ6FY,4aca15,B738,B738W26,370.49,1437.0,113.3,169.0,1292
BTI1X9,502d0e,,B738W26,564.32,916.0,104.4,288.0,915
RYR89YN,4d2220,B738,B738W26,383.01,3600.0,85.3,114.0,1031
NSZ2RT,4ab824,,B738W26,1445.01,1205.0,119.6,232.0,1124
ASL82Y,502d79,,B738W26,5.58,18.0,2.0,356.0,18
NYX808,51113f,AT45,ATR42-500,0.0,3600.0,100.2,90.0,1529
FIN7MP,4601f5,,B738W26,427.36,867.0,66.9,220.0,866
4aaa16,4aaa16,B429,B738W26,0.0,3600.0,0.0,0.0,0
KLM82J,48415f,B738,B738W26,1388.54,1342.0,189.0,280.0,1341
WZZ1ZG,471d5c,,B738W26,212.22,721.0,69.3,214.0,720
SAS184,4ab5d5,,B738W26,866.95,2302.0,137.7,144.0,2145
IBE0828,34250a,,B738W26,603.49,517.0,38.1,89.0,457
PHOEN,486423,HIGH,B738W26,0.0,2066.0,0.0,0.0,0
FIN4EB,45ab24,B738,B738W26,4.16,5.0,0.6,310.0,5
RYR7HJ,4d2262,B738,B738W26,1880.1,1454.0,164.0,255.0,1401
SDM6311,151f0d,B739,B739ERW26,541.62,702.0,92.3,340.0,702
SEVVK,4adacb,,B738W26,842.53,2370.0,26.9,25.0,1159
NSZ4353,4acb04,B738,B738W26,0.0,70.0,0.0,0.0,0
NSZ4113,4acb03,B738,B738W26,1375.63,1161.0,109.7,236.0,1084
SEICL,4aa46c,,B738W26,2475.19,3600.0,120.5,48.0,3599
NFA177P,45ba06,SW4,B738W26,1209.07,1746.0,121.6,135.0,1686
FIN7GR,461f30,A319,A319-131,41.29,52.0,6.7,377.0,52
SWE42B,4acac3,PC24,EMB-505,112.91,1158.0,86.2,189.0,995
SELCN,4ab06e,,B738W26,682.15,2939.0,34.4,18.0,945
LOT4CE,48ada3,E195,EMB-195STD,334.18,1351.0,84.0,114.0,1191
BTI860,502d5a,BCS3,A319-131,110.0,185.0,19.9,350.0,185
SAS1748,4ab562,AT76,ATR72-600,0.0,991.0,67.4,167.0,991
DLH2JT,3c65c7,A20N,A320-271N,1.65,3.0,0.4,380.0,3
SEXVI,4ae2c9,GLAS,B738W26,384.77,1278.0,38.1,29.0,729
SAS189,4ab563,AT76,ATR72-600,0.0,1474.0,117.5,140.0,1474
NCR815,acfc26,B744,B744ERGE,1991.49,425.0,34.5,84.0,409
SWR589X,4b161b,A320,A320-232,1386.25,1223.0,145.0,252.0,1222
SAS070,4cad86,A20N,A320-271N,1104.67,1103.0,101.0,249.0,1048
SAS488,4cad94,A20N,A320-271N,309.86,1379.0,109.4,150.0,1231
